"id","level","prompt","correct","distractor1","distractor2","distractor3"
"politics-l1-39","1","Hvor mange mennesker må minimum stemme ja for at en folkeavstemning skal bli gjennomført i Norge?","Minst 300 000","Minst 100 000","Minst 500 000","Minst 200 000"
"politics-l1-40","1","Hva kalles det norske grunnloven?","Grunnloven","Konstitusjonen","Lov om statstyring","Administrasjonsloven"
"politics-l1-41","1","Hvem var Norges første konge etter unionen med Sverige ble oppløst i 1905?","Haakon VII","Oscar II","Christian X","Gustaf V"
"politics-l1-42","1","I hvilket år fikk Norge sin grunnlov?","1814","1815","1816","1813"
"politics-l1-43","1","Hvilken nasjon styrte Norge før 1380?","Danmark","Sverige","Tyskland","Storbritannia"
"politics-l1-44","1","Hva het den union Norge var en del av fra 1380 til 1814?","Kalmarunionen","Stockholmunionen","Köpenhamnsunionen","Osloalliansen"
"politics-l1-45","1","Når oppløstes unionen mellom Norge og Sverige?","1905","1900","1910","1895"
"politics-l1-46","1","Hvem var den første demokratisk valgte presidenten i Frankrike?","Louis-Napoléon Bonaparte","Napoléon Bonaparte","Charles de Gaulle","Georges Clemenceau"
"politics-l1-47","1","I hvilket år falt Berlinmuren?","1989","1987","1991","1985"
"politics-l1-48","1","Hvilken amerikanske president undertegnet Emancipation Proclamation?","Abraham Lincoln","Andrew Johnson","Ulysses S. Grant","James Buchanan"
"politics-l1-49","1","I hvilket år endte Apartheid i Sør-Afrika offisielt?","1994","1990","1992","1996"
"politics-l1-50","1","Hvem var Sør-Afrikas første svarte president?","Nelson Mandela","Thabo Mbeki","F.W. de Klerk","Oliver Tambo"
"politics-l1-51","1","I hvilket århundre fant den franske revolusjonen sted?","1700-tallet","1600-tallet","1800-tallet","1500-tallet"
"politics-l1-52","1","Hvilken kjempeseier ga kommunistene makten i Kina?","Kinesisk borgerkrig","Russisk revolusjon","Kulturrevolusjonen","Great Leap Forward"
"politics-l1-53","1","Hvem var leder av Sovjet under andre verdenskrig?","Josef Stalin","Vladimir Lenin","Leon Trotskij","Nikita Khrushchev"
"politics-l1-54","1","I hvilket år startet første verdenskrig?","1914","1912","1916","1910"
"politics-l1-55","1","Hvilken monark styrte Storbritannia under første verdenskrig?","George V","Edward VII","George VI","William IV"
"politics-l1-56","1","I hvilket år ble India uavhengig fra Storbritannia?","1947","1945","1950","1942"
"politics-l1-57","1","Hvem var Indias første statsminister etter uavhengighet?","Jawaharlal Nehru","Indira Gandhi","Rajendra Prasad","Vallabhbhai Patel"
"politics-l1-58","1","I hvilket år oppstod den amerikanske uavhengighetskrigen?","1775","1770","1780","1776"
"politics-l1-59","1","Hvem skrev Den amerikanske uavhengighetserklæringen?","Thomas Jefferson","George Washington","Benjamin Franklin","John Adams"
"politics-l1-60","1","I hvilket år ble Tyskland delt etter andre verdenskrig?","1949","1945","1947","1951"
"politics-l1-61","1","Hvem var Tysklands leder under andre verdenskrig?","Adolf Hitler","Hermann Göring","Joseph Goebbels","Heinrich Himmler"
"politics-l1-62","1","I hvilket år ble Polen delt mellom Russland og Tyskland?","1939","1938","1940","1941"
"politics-l1-63","1","Hvem leder USSR under den kalde krigen?","Mikhail Gorbachev","Leonid Brezhnev","Yuri Andropov","Konstantin Chernenko"
"politics-l1-64","1","I hvilket år kollapset Sovjet?","1991","1989","1993","1988"
"politics-l1-65","1","Hvem var Britannias statsminister under andre verdenskrig?","Winston Churchill","Neville Chamberlain","Clement Attlee","Stanley Baldwin"
"politics-l1-66","1","I hvilket år ble USA dannet som en nation?","1776","1774","1778","1775"
"politics-l1-67","1","Hvem var den første presidenten av USA?","George Washington","Thomas Jefferson","John Adams","Benjamin Franklin"
"politics-l1-68","1","I hvilket år ble Den Franske revolusjonen startet?","1789","1787","1791","1785"
"politics-l1-69","1","Hvem var Frankrikes leder under revolusjonen?","Napoléon Bonaparte","Louis XVI","Robespierre","Georges Danton"
"politics-l1-70","1","I hvilket århundre var den amerikanske borgerkrigen?","1800-tallet","1700-tallet","1900-tallet","1600-tallet"
"politics-l1-71","1","Hvem var presidenten av USA under borgerkrigen?","Abraham Lincoln","Andrew Johnson","James Buchanan","Zachary Taylor"
"politics-l1-72","1","I hvilket år begynte andre verdenskrig?","1939","1938","1941","1937"
"politics-l1-73","1","Hvem ble første leder av Det demokratiske Tyskland?","Walter Ulbricht","Erich Honecker","Konrad Adenauer","Willi Stoph"
"politics-l1-74","1","I hvilket år innførte Stalin sitt fem-årsplan?","1928","1926","1930","1925"
"politics-l1-75","1","Hvem var den britiske dronningen under Viktoriartiden?","Victoria","Elizabeth I","Anne","Mary I"
"politics-l1-76","1","I hvilket århundre var Viktoriatiden?","1800-tallet","1700-tallet","1900-tallet","1600-tallet"
"politics-l1-77","1","Hvem var Norges statsminister da unionen med Sverige oppløstes?","Christian Michelsen","Fridtjov Nansen","Gunnar Knudsen","Jens Bratlie"
"politics-l1-78","1","I hvilket år oppstod det russiske oktoberopprøret?","1917","1915","1919","1916"
"politics-l1-79","1","Hvem ledet det russiske oktoberopprøret?","Vladimir Lenin","Leon Trotskij","Josef Stalin","Alexander Kerensky"
"politics-l1-80","1","Hvem var den første presidenten i USA?","George Washington","Thomas Jefferson","Benjamin Franklin","John Adams"
"politics-l1-81","1","Hvilken norsk politiker er kjent som grunnlegger av Det Norske Arbeiderpartiet?","Gro Harlem Brundtland","Jonas Gahr Støre","Einar Gerhardsen","Erna Solberg"
"politics-l1-82","1","Hvem er den nåværende statsministeren i Storbritannia?","Keir Starmer","Boris Johnson","Liz Truss","Rishi Sunak"
"politics-l1-83","1","Hvilket land leder Emmanuel Macron som president?","Frankrike","Tyskland","Italia","Spania"
"politics-l1-84","1","Hvem er kongen av Sverige?","Carl XVI Gustaf","Oscar II","Gustaf V","Bernadotte"
"politics-l1-85","1","Hvem var den første kvinnelige statsministeren i Storbritannia?","Margaret Thatcher","Theresa May","Liz Truss","Angela Merkel"
"politics-l1-86","1","Hvem er den nåværende presidenten i Tyskland?","Frank-Walter Steinmeier","Angela Merkel","Olaf Scholz","Armin Laschet"
"politics-l1-87","1","Hvilken norsk politiker var statsminister fra 1945 til 1951?","Einar Gerhardsen","Trygve Lie","Fridtjov Nansen","Johan Nygaardsvold"
"politics-l1-88","1","Hvem leder Norges regjering i dag?","Jonas Gahr Støre","Erna Solberg","Jens Stoltenberg","Trygve Lie"
"politics-l1-89","1","Hvem var presidenten i USA fra 2009 til 2017?","Barack Obama","George W. Bush","Donald Trump","Bill Clinton"
"politics-l1-90","1","Hvilken italiensk politiker var kjent som Il Duce?","Benito Mussolini","Alcide De Gasperi","Silvio Berlusconi","Giuseppe Garibaldi"
"politics-l1-91","1","Hvem er prinsessen av Wales?","Catherine","Meghan Markle","Sophie","Anne"
"politics-l1-92","1","Hvem var den første presidenten i Sør-Afrika etter apartheid?","Nelson Mandela","Thabo Mbeki","Frederik de Klerk","Jacob Zuma"
"politics-l1-93","1","Hvilken russisk leder er kjent som diktator?","Vladimir Putin","Mikhail Gorbatsjov","Boris Jeltsin","Joseph Stalin"
"politics-l1-94","1","Hvem var presidenten i USA fra 2017 til 2021?","Donald Trump","Barack Obama","Joe Biden","George W. Bush"
"politics-l1-95","1","Hvem er dronningen av Storbritannia?","Camilla","Elizabeth II","Diana","Anne"
"politics-l1-96","1","Hvem var Indias første statsminister etter uavhengigheten?","Jawaharlal Nehru","Mahatma Gandhi","Indira Gandhi","Rajiv Gandhi"
"politics-l1-97","1","Hvilken norsk politiker var Generalsekretær i FN?","Trygve Lie","Jens Stoltenberg","Fridtjov Nansen","Johan Nygaardsvold"
"politics-l1-98","1","Hvem er den nåværende presidenten i Frankrike?","Emmanuel Macron","François Hollande","Nicolas Sarkozy","Marine Le Pen"
"politics-l1-99","1","Hvem var den første presidenten i Sydafrika etter apartheid endte?","Nelson Mandela","Desmond Tutu","Oliver Tambo","Walter Sisulu"
"politics-l1-100","1","Hvem er statsministeren i Danmark?","Mette Frederiksen","Lars Løkke Rasmussen","Helle Thorning-Schmidt","Venstre-politiker"
"politics-l1-101","1","Hvem var den britiske statsministeren under andre verdenskrig?","Winston Churchill","Clement Attlee","Neville Chamberlain","Edward Heath"
"politics-l1-102","1","Hvem er medlemmer av det norske kongehuset?","Harald V, Sonja og børnene deres","Harald V alene","Bare prinsene","Bare prinsessene"
"politics-l1-103","1","Hvem var presidenten i USA fra 1993 til 2001?","Bill Clinton","George H. W. Bush","George W. Bush","Ronald Reagan"
"politics-l1-104","1","Hvem er statsministeren i Sverige?","Ulf Kristersson","Stefan Löfven","Fredrik Reinfeldt","Göran Persson"
"politics-l1-105","1","Hvem er den nåværende presidenten i USA?","Joe Biden","Donald Trump","Barack Obama","George W. Bush"
"politics-l1-106","1","Hvem var den tysk-amerikanske leder av Øst-Tyskland under kaldt krig?","Walter Ulbricht","Erich Honecker","Helmut Kohl","Willy Brandt"
"politics-l1-107","1","Hvem er statsministeren i Spania?","Pedro Sánchez","Mariano Rajoy","José María Aznar","Felipe González"
"politics-l1-108","1","Hvem var den kjente britiske statsministeren kjent som «Iron Lady»?","Margaret Thatcher","Theresa May","Liz Truss","Barbara Castle"
"politics-l1-109","1","Hvem var den australske statsministeren fra 2010 til 2013?","Julia Gillard","Paul Keating","Kevin Rudd","John Howard"
"politics-l1-110","1","Hvem var presidenten i Frankrike før Emmanuel Macron?","François Hollande","Nicolas Sarkozy","Jacques Chirac","Valéry Giscard d'Estaing"
"politics-l1-111","1","Hvem er den nåværende kansleren i Tyskland?","Olaf Scholz","Angela Merkel","Armin Laschet","Friedrich Merz"
"politics-l1-112","1","Hvem var den sovjetiske lederen som ga glasnost og perestroika?","Mikhail Gorbatsjov","Leonid Bresjnev","Nikita Khrushsjov","Joseph Stalin"
"politics-l1-113","1","Hvem er kronprins av Danmark?","Frederik","Christian","Alexander","Joachim"
"politics-l1-114","1","Hvem var den andre presidenten i USA?","John Adams","Thomas Jefferson","James Madison","Alexander Hamilton"
"politics-l1-115","1","Hvem er kronprins av Norge?","Haakon Magnus","Frederik","Magnus","Alexander"
"politics-l1-116","1","Hvem var den norske diplomatén som ble Nobels fredsprisvinner?","Fridtjov Nansen","Trygve Lie","Halvard Lange","Johan Nygaardsvold"
"politics-l1-117","1","Hvem er statsministeren i Canada?","Justin Trudeau","Stephen Harper","Paul Martin","Jean Chrétien"
"politics-l1-118","1","Hvilken amerikansk president tjenestegjorde i flest perioder?","Franklin D. Roosevelt","George Washington","Thomas Jefferson","Abraham Lincoln"
"politics-l1-119","1","Hvem var den yngste amerikanske presidenten som ble valgt?","John F. Kennedy","Bill Clinton","Barack Obama","Theodore Roosevelt"
"politics-l1-120","1","Hvor mange år tjenestegjorde Margaret Thatcher som britisk statsminister?","11","13","9","15"
"politics-l1-121","1","Hvilken norsk statsminister tjenestegjorde i lengst tid?","Einar Gerhardsen","Jonas Lie","John Lyng","Knut Frydenlund"
"politics-l1-122","1","I hvilket år ble Det europeiske parlamentet først valgt direkte av folket?","1979","1973","1989","1975"
"politics-l1-123","1","Hvor mange land var medlemmer av De forente nasjoner da organisasjonen ble grunnlagt i 1945?","51","42","60","35"
"politics-l1-124","1","Hvilken amerikanske president hadde det korteste funksjonstid?","William Henry Harrison","James Garfield","Zachary Taylor","Andrew Johnson"
"politics-l1-125","1","I hvilket år ble kvinnelige medlemmer først valgt til Stortinget i Norge?","1945","1950","1940","1955"
"politics-l1-126","1","Hvor mange ganger har Tyskland blitt delt opp politisk i det 20. århundre?","2","1","3","4"
"politics-l1-127","1","I hvilket år døde Winston Churchill?","1965","1960","1970","1955"
"politics-l1-128","1","Hvor mange medlemmer har Stortinget i Norge?","169","150","175","200"
"politics-l1-129","1","Hvilken norsk politiker var statsminister oftest i løpet av 1900-tallet?","Einar Gerhardsen","Gunnar Knudsen","Per Birkeli","Frederick Stang"
"politics-l1-130","1","I hvilket år ble Nelson Mandela valgt til president i Sør-Afrika?","1994","1990","1989","1996"
"politics-l1-131","1","Hvor mange år var Nelson Mandela fengslet?","27","20","30","25"
"politics-l1-132","1","Hvilken amerikanske president hadde lavest stemmeandel ved sitt valg blant alle som ble valgt?","Abraham Lincoln","Rutherford B. Hayes","Benjamin Harrison","John Quincy Adams"
"politics-l1-133","1","I hvilket år ble Apartheid offisielt avsluttet i Sør-Afrika?","1991","1989","1993","1990"
"politics-l1-134","1","Hvor mange presidentperioder hadde George Washington?","2","1","3","4"
"politics-l1-135","1","Hvem var den eldste amerikanske presidenten da han ble valgt før år 2000?","Ronald Reagan","George H. W. Bush","Dwight Eisenhower","Gerald Ford"
"politics-l1-136","1","I hvilket år fikk alle menn over 21 år stemmerett i Storbritannia?","1928","1930","1920","1925"
"politics-l1-137","1","Hvor mange ganger ble Winston Churchill valgt til statsminister?","2","1","3","4"
"politics-l1-138","1","Hvem ble den første kvinnelige presidenten i Finnland?","Tarja Halonen","Anneli Jäätteenmäki","Martti Ahtisaari","Urho Kekkonen"
"politics-l1-139","1","I hvilket århundre ble det parlamentariske systemet etablert i Storbritannia?","1700-tallet","1600-tallet","1800-tallet","1500-tallet"
"politics-l1-140","1","Hvor mange presidenter har USA hatt siden 1945?","10","9","11","12"
"politics-l1-141","1","I hvilket år ble Norges grunnlov vedtatt?","1814","1810","1820","1805"
"politics-l1-142","1","Hvem var den første presidenten i De forente nasjoner?","Trygve Lie","Dag Hammarskjöld","U Thant","Kurt Waldheim"
"politics-l1-143","1","Hvor mange medlemmer hadde det første amerikanske senat?","26","30","20","25"
"politics-l1-144","1","I hvilket år ble kvinners stemmerett etablert i USA?","1920","1915","1925","1910"
"politics-l1-145","1","Hvor mange år omfatter en norsk stortingsperiode?","4","3","5","6"
"politics-l1-146","1","Hvem var den første presidenten i Tyskland etter annen verdenskrig?","Konrad Adenauer","Ludwig Erhard","Willy Brandt","Helmut Schmidt"
"politics-l1-147","1","I hvilket år ble den kalde krigen vanlig antatt å være avsluttet?","1989","1985","1991","1987"
"politics-l1-148","1","Hvor mange medlemmer har EU-kommisjonens ledelse vanligvis?","27","25","30","20"
"politics-l1-149","1","Hvem var den første kvinnelige statministeren i Danmark?","Helle Thorning-Schmidt","Nyrup Rasmussen","Paul Schlüter","Anders Fogh Rasmussen"
"politics-l1-150","1","I hvilket år ble Irland uavhengig fra Storbritannia?","1922","1920","1925","1919"
"politics-l1-151","1","Hvor mange år var Dag Hammarskjöld generalsekretær i FN?","8","6","10","7"
"politics-l1-152","1","Hvem var den første amerikanske presidenten som ble født vestover Mississippi-elven?","Harry Truman","Dwight Eisenhower","Theodore Roosevelt","William McKinley"
"politics-l1-153","1","I hvilket år ble det parlamentariske systemet reformert i Norge?","1884","1880","1890","1875"
"politics-l1-154","1","Hvor mange amerikanske presidenter ble myrdet mens de var i embete?","4","3","5","2"
"politics-l1-155","1","I hvilket år ble FN etablert?","1945","1944","1946","1943"
"politics-l2-156","2","Hvor mange stortingsrepresentanter er det i Norge?","169","150","200","175"
"politics-l2-157","2","Hvem er statsministeren i Norge per 2024?","Jonas Gahr Støre","Erna Solberg","Jan Peder Syse","Jens Stoltenberg"
"politics-l2-158","2","Hvilket år fikk Norge sin grunnlov?","1814","1905","1884","1824"
"politics-l2-159","2","Hvilken dag er Norges nasjonaldag?","17. mai","4. juli","14. juli","25. juni"
"politics-l2-160","2","Hvem er konge i Norge?","Harald V","Carl XVI Gustaf","Frederik X","Haakon VII"
"politics-l2-161","2","Hvilket land har et diktatur?","Nord-Korea","Sverige","Danmark","Nederland"
"politics-l2-162","2","Hvor er FNs hovedkvarter?","New York","Genève","London","Brussel"
"politics-l2-163","2","Hvor mange medlemsland har EU per 2024?","27","28","25","30"
"politics-l2-164","2","Hvem grunnla USA?","De amerikanske koloniene","George Washington alene","England","Spania"
"politics-l2-165","2","Hvilket år erklærte USA sin uavhengighet?","1776","1787","1800","1765"
"politics-l2-166","2","Hvor mange år varer et presidentskapsperiode i USA?","4","5","6","3"
"politics-l2-167","2","Hvem er konge av Sverige?","Carl XVI Gustaf","Harald V","Margrethe II","Frederik X"
"politics-l2-168","2","Hvor ligger Danmarks hovedstad?","København","Aarhus","Odense","Aalborg"
"politics-l2-169","2","Hvilket år oppløstes unionen mellom Norge og Sverige?","1905","1814","1900","1920"
"politics-l2-170","2","Hvem er dronning av Storbritannia?","Camilla","Kate Middleton","Anne","Sophie"
"politics-l2-171","2","Hvor mange stater har USA?","50","48","52","51"
"politics-l2-172","2","Hvor mange år sitter en europeisk parlamentariker?","5","4","6","7"
"politics-l2-173","2","Hvilket årtiende fikk kvinner stemmerett i Norge?","1910-tallet","1890-tallet","1920-tallet","1900-tallet"
"politics-l2-174","2","Hvem var første statsminister i Norge etter unionsoppløsningen?","Christian Michelsen","Fridtjov Nansen","Johan Sverdrup","Gunnar Knudsen"
"politics-l2-175","2","Hvor mange millioner innbyggere har Norge?","5,5","8","3","10"
"politics-l2-176","2","Hvem er statsminister i Sverige?","Ulf Kristersson","Stefan Löfven","Fredrik Reinfeldt","Göran Persson"
"politics-l2-177","2","Hvilket organ er landets øverste myndighet i Norge?","Stortinget","Kongen","Regjeringen","Høyesterett"
"politics-l2-178","2","Hvor mange dager må en norsk statsborger vente før å få svar på søknad om statsborgerskap?","3 år","1 år","5 år","2 år"
"politics-l2-179","2","Hvilken gruppe har makt i et diktatur?","En person eller liten gruppe","Folket gjennom valg","Parlamentet","Militæret alene"
"politics-l2-180","2","Hvem var grunnlegger av De grønne parti i Norge?","Magnar Aukrust","Frederic Hauge","Per Strand","Ingunn Midthun"
"politics-l2-181","2","Hvor mange år må man være for å stemme i Norge?","18","16","21","17"
"politics-l2-182","2","Hvem er statsminister i Danmark?","Mette Frederiksen","Søren Pape Poulsen","Lars Løkke Rasmussen","Venstre-politikeren"
"politics-l2-183","2","Hvor ligger UNs menneskerettighetskontor?","Genève","New York","Brussel","Wien"
"politics-l2-184","2","Hvilken organisasjon har som formål å opprettholde internasjonal fred?","FN","NATO","OECD","WTO"
"politics-l2-185","2","Hvor mange permanente medlemmer har FNs sikkerhetsråd?","5","10","15","3"
"politics-l2-186","2","Hvem er konge i Belgia?","Filip","Willem-Alexander","Harald V","Albert II"
"politics-l2-187","2","Hvilket år ble Norge medlem av NATO?","1949","1945","1950","1952"
"politics-l2-188","2","Hvor mange partier er representert på Stortinget per 2024?","8","6","10","7"
"politics-l2-189","2","Hvem velger statsministeren i Norge?","Kongen","Folket","Stortinget alene","Storting og regjering sammen"
"politics-l2-190","2","Hvor ligger Europaparlamentet?","Strasbourg","Brussel","Luxemburg","Frankfurt"
"politics-l2-191","2","Hvor mange ministerer er det vanligvis i en norsk regjering?","19","15","25","22"
"politics-l2-192","2","Hvilket år gikk Norge ut av Schengen-området?","Norge er fortsatt medlem","2015","2020","2010"
"politics-l2-193","2","Hvilken norsk konge grunnla Christiania (Oslo) på nytt i 1624?","Christian 4.","Fredrik 3.","Kristian 5.","Harald Fairhair"
"politics-l2-194","2","I hvilket år fikk Norge sin egen grunnlov?","1814","1905","1884","1824"
"politics-l2-195","2","Hvem var Norges første statsminister?","Frederik Stang","Ivar Aasen","Johan Sverdrup","Axel Johnsen"
"politics-l2-196","2","Hvilket år ble Norge selvstendig fra Sverige?","1905","1814","1945","1913"
"politics-l2-197","2","Hvem var konge av Norge under Kalmarvunionen?","Christian 1.","Magnus Eriksson","Olav 5.","Haakon 6."
"politics-l2-198","2","I hvilket år oppstod Kalmarvunionen mellom Norge, Sverige og Danmark?","1397","1348","1425","1380"
"politics-l2-199","2","Hvem skrev Norges grunnlov i 1814?","Christian Magnus Falsen","Ivar Aasen","Henrik Ibsen","Axel Johnsen"
"politics-l2-200","2","Hvilken konge var på tronen da Norge ble uavhengig i 1905?","Haakon 7.","Olav 5.","Haakon 6.","Olav 2."
"politics-l2-201","2","Fra hvilket år hadde Norge stortinget som nasjonalforsamling?","1814","1824","1848","1906"
"politics-l2-202","2","Hvem var leder av den norske regjeringen under andre verdenskrig (1940-1945)?","Johan Nygaardsvold","Vidkun Quisling","Axel Johnsen","Fredrik Stang"
"politics-l2-203","2","I hvilket år ble kvinnene gitt stemmerett i Norge?","1913","1905","1920","1945"
"politics-l2-204","2","Hvilken dansk-norsk konge styret Norge fra 1380 til 1397?","Olav 2.","Christian 1.","Haakon 5.","Magnus Eriksson"
"politics-l2-205","2","Hvem var den første presidenten i Den amerikanske republikk?","George Washington","Thomas Jefferson","Benjamin Franklin","John Adams"
"politics-l2-206","2","I hvilket år fant den franske revolusjon sted?","1789","1776","1815","1848"
"politics-l2-207","2","Hvem var den første amerikanske presidenten til å bli valgt etter grunnloven?","George Washington","John Adams","Thomas Jefferson","James Madison"
"politics-l2-208","2","Hvilket år ble USA selvstendig fra Storbritannia?","1776","1783","1775","1789"
"politics-l2-209","2","Hvem skrev Menneskerettighetserklæringen under den franske revolusjon?","Marquis de Lafayette","Robespierre","Danton","Mirabeau"
"politics-l2-210","2","I hvilket år ble Storbritannia en konstitusjonsmonarkiet?","1688","1649","1707","1832"
"politics-l2-211","2","Hvem var konge av Storbritannia da USA erklærte seg uavhengig?","Georg 3.","Georg 2.","Georg 1.","Karl 2."
"politics-l2-212","2","Hvilken tysk kansler var kjent som 'Jernkansleren'?","Otto von Bismarck","Helmuth von Moltke","Wilhelm 1.","Friedrich Wilhelm 4."
"politics-l2-213","2","I hvilket år ble Tyskland samlet til et rike?","1871","1848","1861","1890"
"politics-l2-214","2","Hvem var Kaiser av Tyskland da første verdenskrig startet?","Wilhelm 2.","Wilhelm 1.","Friedrich Wilhelm 4.","Otto von Bismarck"
"politics-l2-215","2","Hvilken russisk tsar ble henrettet i 1918?","Nikolai 2.","Alexander 3.","Alexander 2.","Peter 1."
"politics-l2-216","2","I hvilket år fant den russiske bolsjevikrevolusjonen sted?","1917","1905","1918","1922"
"politics-l2-217","2","Hvem var leder av Sovjetunionen fra 1922 til 1953?","Josef Stalin","Vladimir Lenin","Nikita Khrushsjov","Leonid Brezhnev"
"politics-l2-218","2","I hvilket år endte første verdenskrig?","1918","1919","1917","1920"
"politics-l2-219","2","Hvem var tysk diktator under andre verdenskrig?","Adolf Hitler","Benito Mussolini","Hermann Göring","Joseph Goebbels"
"politics-l2-220","2","I hvilket år startet andre verdenskrig?","1939","1938","1940","1937"
"politics-l2-221","2","Hvem var britisk statsminister under andre verdenskrig?","Winston Churchill","Neville Chamberlain","Clement Attlee","Stanley Baldwin"
"politics-l2-222","2","I hvilket år ble De forente nasjoner (FN) grunnlagt?","1945","1946","1944","1947"
"politics-l2-223","2","Hvem var første generalsekretær i FN?","Trygve Lie","Dag Hammarskjöld","U Thant","Kurt Waldheim"
"politics-l2-224","2","I hvilket år endte andre verdenskrig i Europa?","1945","1944","1946","1943"
"politics-l2-225","2","Hvem var første president av India etter uavhengigheten?","Rajendra Prasad","Jawaharlal Nehru","Sardar Vallabhbhai Patel","Abul Kalam Azad"
"politics-l2-226","2","Hvem var leder av Kina fra 1949 til 1976?","Mao Zedong","Deng Xiaoping","Zhou Enlai","Chiang Kai-shek"
"politics-l2-227","2","I hvilket år ble Folkerepublikken Kina grunnlagt?","1949","1948","1950","1947"
"politics-l2-228","2","Hvem var første president av Sør-Afrika etter apartheid-systemet?","Nelson Mandela","Thabo Mbeki","Frederik de Klerk","Kgalema Motlanthe"
"politics-l2-229","2","I hvilket år sluttet apartheid-systemet offisielt i Sør-Afrika?","1994","1992","1993","1995"
