"id","level","prompt","correct","distractor1","distractor2","distractor3"
"chemistry-l1-70","1","In what year did Soddy win the Nobel Prize for isotopes?","1921","1911","1931","1915"
"chemistry-l1-71","1","Who proposed the octet rule in chemistry?","Gilbert Newton Lewis","Niels Bohr","Irving Langmuir","Linus Pauling"
"chemistry-l1-72","1","Which country was Marie Curie born in?","Poland","France","Germany","Austria"
"chemistry-l1-73","1","Who discovered the element argon?","William Ramsay","Lord Rayleigh","Henry Moseley","Joseph Norman Lockyer"
"chemistry-l1-74","1","In what year was argon discovered?","1894","1884","1904","1890"
"chemistry-l1-75","1","Which scientist discovered the element helium?","Joseph Norman Lockyer","William Ramsay","Pierre Janssen","John Herschel"
"chemistry-l1-76","1","Who proposed the concept of electronegativity?","Linus Pauling","Gilbert Newton Lewis","Irving Langmuir","Pauling Goudsmit"
"chemistry-l1-77","1","Which scientist developed X-ray crystallography?","William Henry Bragg","Wilhelm Röntgen","Max von Laue","Henry Moseley"
"chemistry-l1-78","1","In what year did Wilhelm Röntgen discover X-rays?","1895","1885","1905","1890"
"chemistry-l1-79","1","Who is the famous chemist known for discovering radium?","Marie Curie","Albert Einstein","Isaac Newton","Nikola Tesla"
"chemistry-l1-80","1","Which scientist won the Nobel Prize in Chemistry for his work on the structure of atoms?","Niels Bohr","Ernest Rutherford","Max Planck","Werner Heisenberg"
"chemistry-l1-81","1","Who discovered the element oxygen?","Joseph Priestley","Antoine Lavoisier","Carl Wilhelm Scheele","Henry Cavendish"
"chemistry-l1-82","1","Which chemist is famous for creating the periodic table of elements?","Dmitri Mendeleev","John Dalton","Joseph Gay-Lussac","Robert Boyle"
"chemistry-l1-83","1","Who developed the modern theory of atomic structure?","Ernest Rutherford","J.J. Thomson","Erwin Schrödinger","Wolfgang Pauli"
"chemistry-l1-84","1","Which scientist discovered the electron?","J.J. Thomson","Robert Millikan","Niels Bohr","Ernest Rutherford"
"chemistry-l1-85","1","Who is known for the development of valence bond theory?","Linus Pauling","Robert Mulliken","Gilbert Lewis","Friedrich Hund"
"chemistry-l1-86","1","Which chemist discovered the law of conservation of mass?","Antoine Lavoisier","Joseph Proust","Claude Berthollet","Pierre-Simon Laplace"
"chemistry-l1-87","1","Who formulated the law of combining volumes?","Joseph Gay-Lussac","Charles Law","Robert Charles","Amedeo Avogadro"
"chemistry-l1-88","1","Which scientist is famous for Avogadro's constant?","Amedeo Avogadro","Johannes Stark","Philipp Lenard","Auguste Comte"
"chemistry-l1-89","1","Which chemist discovered fluorine?","Henri Moissan","Ferdinand Frederic Henri Moissan","Carl Wilhelm Scheele","Humphry Davy"
"chemistry-l1-90","1","Who is known for developing the concept of chemical bonding?","Gilbert Lewis","Linus Pauling","Robert Mulliken","Johannes Stark"
"chemistry-l1-91","1","Which scientist developed the electrochemical series?","Luigi Galvani","Alessandro Volta","Michael Faraday","Charles Coulomb"
"chemistry-l1-92","1","Who discovered the element chlorine?","Carl Wilhelm Scheele","Humphry Davy","Joseph Priestley","Henry Cavendish"
"chemistry-l1-93","1","Which chemist is famous for electroplating?","Michael Faraday","Humphry Davy","William Nicol","Charles Coulomb"
"chemistry-l1-94","1","Who formulated the ideal gas law?","Émile Clapeyron","Robert Boyle","Charles Law","Gay-Lussac"
"chemistry-l1-95","1","Who is known for developing molecular orbital theory?","Robert Mulliken","Linus Pauling","Friedrich Hund","Wolfgang Pauli"
"chemistry-l1-96","1","Which chemist discovered the element argon?","William Ramsay","Morris William Travers","Frederick Soddy","Frederick Bragg"
"chemistry-l1-97","1","Who discovered the element neon?","William Ramsay","Morris William Travers","Frederick Soddy","John Philip Coates"
"chemistry-l1-98","1","Which scientist is famous for the discovery of isotopes?","Frederick Soddy","Ernest Rutherford","Henry Moseley","Niels Bohr"
"chemistry-l1-99","1","Who developed the concept of chemical equilibrium?","Cato Maximilian Guldberg","Peter Waage","Jacobus Henricus van 't Hoff","Wilhelm Ostwald"
"chemistry-l1-100","1","Which chemist discovered the law of mass action?","Peter Waage","Cato Maximilian Guldberg","Jacobus Henricus van 't Hoff","Svante Arrhenius"
"chemistry-l1-101","1","Who is known for developing the theory of osmotic pressure?","Jacobus Henricus van 't Hoff","Svante Arrhenius","Wilhelm Ostwald","Walther Nernst"
"chemistry-l1-102","1","Which scientist developed the Arrhenius equation?","Svante Arrhenius","Jacobus Henricus van 't Hoff","Wilhelm Ostwald","Walther Nernst"
"chemistry-l1-103","1","Who discovered the element potassium?","Humphry Davy","Carl Wilhelm Scheele","Joseph Priestley","Henry Cavendish"
"chemistry-l1-104","1","Which chemist discovered the element sodium?","Humphry Davy","Carl Wilhelm Scheele","Joseph Priestley","Michael Faraday"
"chemistry-l1-105","1","Who is famous for the development of coordination chemistry?","Alfred Werner","Ernst Otto Fischer","Geoffrey Wilkinson","Linus Pauling"
"chemistry-l1-106","1","Which scientist discovered the element manganese?","Carl Wilhelm Scheele","Humphry Davy","Joseph Priestley","Henry Cavendish"
"chemistry-l1-107","1","Who discovered the element boron?","Joseph Gay-Lussac","Claude-Louis Berthollet","Humphry Davy","Carl Wilhelm Scheele"
"chemistry-l1-108","1","Which chemist is known for the discovery of benzene structure?","Friedrich August Kekulé","William Henry Perkin","Victor Grignard","Robert Wilhelm Bunsen"
"chemistry-l1-109","1","Who developed the Grignard reaction?","Victor Grignard","Paul Sabatier","Friedrich August Kekulé","Peter Debye"
"chemistry-l1-110","1","Which scientist discovered the element bromine?","Antoine Jérôme Balard","Carl Wilhelm Scheele","Humphry Davy","Joseph Gay-Lussac"
"chemistry-l1-111","1","Who is famous for developing X-ray crystallography?","William Henry Bragg","William Lawrence Bragg","Max von Laue","Rosalind Franklin"
"chemistry-l1-112","1","Which chemist discovered the element iodine?","Bernard Courtois","Antoine Jérôme Balard","Carl Wilhelm Scheele","Humphry Davy"
"chemistry-l1-113","1","Who developed the concept of pH scale?","Søren Peder Lauritz Sørensen","Wilhelm Ostwald","Jacobus Henricus van 't Hoff","Walther Nernst"
"chemistry-l1-114","1","Which scientist is known for developing polymer chemistry?","Hermann Staudinger","Stephanie Kwolek","Wallace Carothers","Leo Baekeland"
"chemistry-l1-115","1","Who discovered the element gallium?","Paul-Émile Lecoq de Boisbaudran","Clemens Winkler","Eka-aluminium","Dmitri Mendeleev"
"chemistry-l1-116","1","Which chemist developed the concept of electronegativity?","Linus Pauling","Robert Mulliken","Alfred Allred","Gilbert Lewis"
"chemistry-l1-117","1","What is the most abundant element in the Earth's crust by mass?","Oxygen","Silicon","Aluminum","Iron"
"chemistry-l1-118","1","Which element has the highest melting point of all elements?","Tungsten","Platinum","Chromium","Molybdenum"
"chemistry-l1-119","1","What is the lightest element on the periodic table?","Hydrogen","Helium","Lithium","Beryllium"
"chemistry-l1-120","1","Which element has the lowest boiling point at standard pressure?","Helium","Hydrogen","Neon","Nitrogen"
"chemistry-l1-121","1","What is the most electronegative element?","Fluorine","Oxygen","Chlorine","Nitrogen"
"chemistry-l1-122","1","Which element is the most abundant in the human body by mass?","Oxygen","Carbon","Hydrogen","Nitrogen"
"chemistry-l1-123","1","What is the densest naturally occurring element?","Osmium","Iridium","Platinum","Gold"
"chemistry-l1-124","1","Which metal has the highest thermal conductivity?","Silver","Copper","Gold","Aluminum"
"chemistry-l1-125","1","What is the most common oxidation state of oxygen in compounds?","-2","-1","+1","+2"
"chemistry-l1-126","1","Which noble gas has the smallest atomic radius?","Helium","Neon","Argon","Krypton"
"chemistry-l1-127","1","What is the most reactive metal on the periodic table?","Francium","Cesium","Rubidium","Potassium"
"chemistry-l1-128","1","Which element has the longest known half-life for a radioactive isotope?","Bismuth","Thorium","Uranium","Technetium"
"chemistry-l1-129","1","What is the smallest stable atom?","Helium","Hydrogen","Lithium","Neon"
"chemistry-l1-130","1","Which element has the most isotopes of any element?","Xenon","Tin","Lead","Mercury"
"chemistry-l1-131","1","What is the second most abundant element in the universe?","Helium","Oxygen","Carbon","Nitrogen"
"chemistry-l1-132","1","Which element has the highest specific heat capacity?","Hydrogen","Water","Ammonia","Methane"
"chemistry-l1-133","1","What is the boiling point of water in Celsius?","100","98","102","95"
"chemistry-l1-134","1","Which element is the best conductor of electricity among all substances?","Silver","Copper","Aluminum","Gold"
"chemistry-l1-135","1","What is the atomic number of carbon?","6","5","7","8"
"chemistry-l1-136","1","Which gas makes up the largest percentage of Earth's atmosphere?","Nitrogen","Oxygen","Argon","Carbon dioxide"
"chemistry-l1-137","1","What is the melting point of ice in Celsius?","0","-1","1","-273"
"chemistry-l1-138","1","Which element is most abundant in the oceans?","Hydrogen","Oxygen","Chlorine","Sodium"
"chemistry-l1-139","1","What is the atomic number of gold?","79","74","82","80"
"chemistry-l1-140","1","Which element has the highest atomic mass among non-radioactive elements?","Bismuth","Lead","Mercury","Thallium"
"chemistry-l1-141","1","What is the pH of pure water at 25°C?","7","6","8","7.5"
"chemistry-l1-142","1","Which element is the least dense metal?","Lithium","Sodium","Potassium","Magnesium"
"chemistry-l1-143","1","What is the most abundant gas in the atmosphere by percentage?","Nitrogen","Oxygen","Argon","Helium"
"chemistry-l1-144","1","Which element has the smallest atomic mass?","Hydrogen","Helium","Deuterium","Lithium"
"chemistry-l1-145","1","What is the chemical formula for table salt?","NaCl","NaClO","Na2Cl","NaCl2"
"chemistry-l1-146","1","Which element is found in all organic compounds?","Carbon","Oxygen","Nitrogen","Hydrogen"
"chemistry-l1-147","1","What is the atomic number of oxygen?","8","6","7","9"
"chemistry-l1-148","1","Which element is a liquid at room temperature and normal pressure?","Mercury","Bromine","Gallium","Cesium"
"chemistry-l1-149","1","What is the most abundant isotope of oxygen?","Oxygen-16","Oxygen-17","Oxygen-18","Oxygen-15"
"chemistry-l1-150","1","Which metal is most abundant in the Earth's crust?","Aluminum","Iron","Magnesium","Zinc"
"chemistry-l1-151","1","What is the density of water at 4°C in g/cm³?","1.0","0.9","1.1","0.8"
"chemistry-l1-152","1","Which element has the most valence electrons of any transition metal?","Manganese","Iron","Chromium","Copper"
"chemistry-l1-153","1","What is the atomic number of iron?","26","24","27","25"
"chemistry-l1-154","1","Which element is most commonly used in nuclear power plants?","Uranium","Plutonium","Thorium","Radium"
"chemistry-l1-155","1","What is the hardest naturally occurring substance known?","Diamond","Corundum","Topaz","Quartz"
"chemistry-l1-156","1","Which element has an atomic number of 1?","Hydrogen","Helium","Lithium","Beryllium"
"chemistry-l2-157","2","Which scientist is known as the father of modern chemistry?","Antoine Lavoisier","Dmitri Mendeleev","Robert Boyle","Joseph Gay-Lussac"
"chemistry-l2-158","2","Who discovered the neutron in 1932?","James Chadwick","Niels Bohr","Ernest Rutherford","J.J. Thomson"
"chemistry-l2-159","2","In what country was the periodic table first organized by Dmitri Mendeleev?","Russia","Germany","France","Sweden"
"chemistry-l2-160","2","What year did Marie Curie win her first Nobel Prize?","1903","1898","1908","1911"
"chemistry-l2-161","2","Who first discovered the electron?","J.J. Thomson","Ernest Rutherford","Niels Bohr","James Chadwick"
"chemistry-l2-162","2","In what year did Robert Boyle propose Boyle's Law?","1662","1672","1652","1682"
"chemistry-l2-163","2","Which element was named after Marie Curie?","Curium","Francium","Polonium","Radium"
"chemistry-l2-164","2","Who discovered the proton?","Ernest Rutherford","J.J. Thomson","Niels Bohr","James Chadwick"
"chemistry-l2-165","2","What nationality was Dmitri Mendeleev?","Russian","German","Swedish","Polish"
"chemistry-l2-166","2","In what year did Charles's Law about gas behavior get published?","1787","1777","1797","1807"
"chemistry-l2-167","2","Who proposed the concept of chemical bonding in the early 1900s?","Gilbert N. Lewis","Niels Bohr","Max Planck","Werner Heisenberg"
"chemistry-l2-168","2","Which scientist discovered hydrogen and named it 'inflammable air'?","Henry Cavendish","Joseph Priestley","Antoine Lavoisier","Carl Wilhelm Scheele"
"chemistry-l2-169","2","Who discovered the law of conservation of mass in 1785?","Antoine Lavoisier","John Dalton","Robert Boyle","Joseph Gay-Lussac"
"chemistry-l2-170","2","Which country is Carl Wilhelm Scheele from?","Sweden","Germany","France","Poland"
"chemistry-l2-171","2","In what year did Ernest Rutherford discover the nucleus?","1909","1899","1919","1929"
"chemistry-l2-172","2","Who first isolated pure hydrogen as an element?","Henry Cavendish","Antoine Lavoisier","Joseph Priestley","Carl Wilhelm Scheele"
"chemistry-l2-173","2","What year was the first synthetic dye (mauveine) created?","1856","1846","1866","1876"
"chemistry-l2-174","2","Who discovered ozone in 1840?","Christian Friedrich Schönbein","Antoine Lavoisier","Joseph Priestley","Dmitri Mendeleev"
"chemistry-l2-175","2","In what year did Marie Curie discover radium?","1898","1888","1908","1903"
"chemistry-l2-176","2","Who proposed the law of definite proportions?","Joseph Proust","John Dalton","Antoine Lavoisier","Robert Boyle"
"chemistry-l2-177","2","Which scientist developed the Avogadro constant concept?","Amedeo Avogadro","Joseph Gay-Lussac","Charles Louis Gay-Lussac","Jean Baptiste Dumas"
"chemistry-l2-178","2","What year was the concept of valence developed?","1852","1842","1862","1872"
"chemistry-l2-179","2","Who discovered bromine in 1826?","Antoine-Jérôme Balard","Carl Wilhelm Scheele","Antoine Lavoisier","John Dalton"
"chemistry-l2-180","2","In what year did Johan Berzelius coin the term 'isomer'?","1830","1820","1840","1850"
"chemistry-l2-181","2","Who first described the concept of electrochemistry?","Michael Faraday","Robert Boyle","Antoine Lavoisier","John Dalton"
"chemistry-l2-182","2","What nationality was Johan Berzelius, the chemist?","Swedish","German","Norwegian","Danish"
"chemistry-l2-183","2","Who discovered chlorine in 1774?","Carl Wilhelm Scheele","Joseph Priestley","Antoine Lavoisier","Henry Cavendish"
"chemistry-l2-184","2","In what year did Friedrich Kekulé propose the benzene ring structure?","1865","1855","1875","1885"
"chemistry-l2-185","2","Who developed the first electrochemical series?","Henry Cavendish","Michael Faraday","Antoine Lavoisier","John Dalton"
"chemistry-l2-186","2","What year was the electron discovered?","1897","1887","1907","1877"
"chemistry-l2-187","2","Who is credited with the discovery of phosphorus in 1669?","Hennig Brandt","Antoine Lavoisier","John Dalton","Robert Boyle"
"chemistry-l2-188","2","In what year did Dmitri Mendeleev publish his periodic table?","1869","1859","1879","1889"
"chemistry-l2-189","2","Who discovered that atoms have a nucleus by conducting the gold foil experiment?","Ernest Rutherford","J.J. Thomson","Niels Bohr","James Chadwick"
"chemistry-l2-190","2","What year did Pierre and Marie Curie discover polonium?","1898","1888","1908","1918"
"chemistry-l2-191","2","Who proposed the concept of the mole in chemistry?","Johann Josef Loschmidt","Amedeo Avogadro","John Dalton","Antoine Lavoisier"
"chemistry-l2-192","2","In what year did the term 'analytical chemistry' become formally recognized?","1788","1778","1798","1808"
"chemistry-l2-193","2","How many electrons does a hydrogen atom have in its neutral state?","1","2","0","3"
"chemistry-l2-194","2","What is the most abundant element in the Earth's atmosphere?","Nitrogen","Oxygen","Argon","Carbon"
"chemistry-l2-195","2","What state of matter has a definite shape and definite volume?","Solid","Liquid","Gas","Plasma"
"chemistry-l2-196","2","How many atoms are in a water molecule?","3","2","4","5"
"chemistry-l2-197","2","What is the pH of a neutral solution?","7","0","10","14"
"chemistry-l2-198","2","What is the chemical formula for carbon dioxide?","CO2","C2O","CO","C2O2"
"chemistry-l2-199","2","How many protons does a carbon atom have?","6","4","8","12"
"chemistry-l2-200","2","What type of bond holds atoms together in a water molecule?","Covalent","Ionic","Metallic","Hydrogen"
"chemistry-l2-201","2","What is the process by which water changes from liquid to gas?","Evaporation","Condensation","Sublimation","Freezing"
"chemistry-l2-202","2","What is the chemical formula for methane?","CH4","CH3","C2H4","CH2"
"chemistry-l2-203","2","How many valence electrons does oxygen have?","6","4","8","2"
"chemistry-l2-204","2","What is the smallest particle of an element that retains its properties?","Atom","Molecule","Electron","Ion"
"chemistry-l2-205","2","What is the chemical formula for ammonia?","NH3","N2H3","NH2","N3H"
"chemistry-l2-206","2","How many neutrons does carbon-12 have?","6","12","3","18"
"chemistry-l2-207","2","What is the process by which a gas becomes a liquid?","Condensation","Evaporation","Sublimation","Deposition"
"chemistry-l2-208","2","What is the chemical formula for ethanol?","C2H6O","C2H5O","CH6O","C2H6"
"chemistry-l2-209","2","How many protons does an oxygen atom have?","8","6","10","16"
"chemistry-l2-210","2","What is the basic unit of a compound?","Molecule","Atom","Ion","Electron"
"chemistry-l2-211","2","What is the chemical formula for hydrogen peroxide?","H2O2","H2O","HO2","H3O2"
"chemistry-l2-212","2","How many electrons does a neutral sodium atom have?","11","10","12","9"
"chemistry-l2-213","2","What type of reaction occurs when an acid and a base combine?","Neutralization","Combustion","Oxidation","Synthesis"
"chemistry-l2-214","2","What is the chemical formula for sucrose?","C12H22O11","C12H24O12","C11H22O11","C12H22O10"
"chemistry-l2-215","2","How many valence electrons does carbon have?","4","2","6","8"
"chemistry-l2-216","2","What is a substance composed of atoms of only one element called?","Pure substance","Mixture","Compound","Solution"
"chemistry-l2-217","2","What is the chemical formula for glucose?","C6H12O6","C5H10O5","C6H12O5","C6H10O6"
"chemistry-l2-218","2","How many protons does nitrogen have?","7","5","9","14"
"chemistry-l2-219","2","Which element has the smallest atomic number?","Hydrogen","Helium","Lithium","Beryllium"
"chemistry-l2-220","2","Which element is the most abundant in the human body?","Oxygen","Carbon","Hydrogen","Nitrogen"
"chemistry-l2-221","2","What is the highest melting point of any element?","Tungsten","Platinum","Carbon","Molybdenum"
"chemistry-l2-222","2","Which element has the lowest melting point?","Helium","Hydrogen","Neon","Fluorine"
"chemistry-l2-223","2","What is the most reactive metal?","Francium","Cesium","Potassium","Sodium"
"chemistry-l2-224","2","Which element is the most electronegative?","Fluorine","Oxygen","Chlorine","Nitrogen"
"chemistry-l2-225","2","Which element has the most isotopes?","Tin","Lead","Mercury","Iron"
"chemistry-l2-226","2","What is the density of water at 4 degrees Celsius?","1 g/cm³","0.9 g/cm³","1.1 g/cm³","0.8 g/cm³"
"chemistry-l2-227","2","What percentage of Earth's atmosphere is oxygen?","21%","19%","23%","25%"
"chemistry-l2-228","2","Which element is the most abundant gas in the universe?","Hydrogen","Helium","Oxygen","Carbon"
"chemistry-l2-229","2","What is the boiling point of water at standard pressure?","100°C","98°C","102°C","95°C"
"chemistry-l2-230","2","Which element has the highest density of all elements?","Osmium","Iridium","Platinum","Lead"
"chemistry-l2-231","2","Which metal is liquid at room temperature?","Mercury","Gallium","Cesium","Bromine"
"chemistry-l2-232","2","What is the atomic number of Nitrogen?","7","5","9","6"
"chemistry-l2-233","2","Which element has the symbol Au?","Gold","Silver","Aluminum","Argon"
"chemistry-l2-234","2","What is the freezing point of water?","0°C","2°C","-2°C","4°C"
"chemistry-l2-235","2","Which element is the most abundant metal in the Earth's crust?","Aluminum","Iron","Copper","Zinc"
"chemistry-l2-236","2","What is the atomic number of Hydrogen?","1","0","2","3"
"chemistry-l2-237","2","Which noble gas is the most abundant in Earth's atmosphere?","Argon","Neon","Xenon","Radon"
"chemistry-l2-238","2","What is the atomic number of Helium?","2","1","3","4"
"chemistry-l2-239","2","Which element has the symbol Na?","Sodium","Neon","Nitrogen","Nickel"
"chemistry-l2-240","2","What is the most common isotope of Carbon?","Carbon-12","Carbon-11","Carbon-13","Carbon-14"
"chemistry-l2-241","2","Which element has the symbol Fe?","Iron","Fluorine","Fermium","Francium"
"chemistry-l2-242","2","What is the atomic number of Sodium?","11","9","13","10"
"chemistry-l2-243","2","Which element is essential for bone formation?","Calcium","Magnesium","Phosphorus","Potassium"
"chemistry-l2-244","2","What is the atomic number of Chlorine?","17","15","19","16"
"chemistry-l2-245","2","Which element has the lowest density of all metals?","Lithium","Sodium","Potassium","Magnesium"
"chemistry-l2-246","2","What percentage of Earth's atmosphere is nitrogen?","78%","76%","80%","75%"
"chemistry-l2-247","2","Which element has the symbol Cu?","Copper","Carbon","Cadmium","Chromium"
"chemistry-l2-248","2","What is the atomic number of Silicon?","14","12","16","13"
"chemistry-l2-249","2","Which element is the most important for plant growth?","Nitrogen","Phosphorus","Potassium","Calcium"
"chemistry-l2-250","2","What is the atomic number of Sulfur?","16","14","18","15"
"chemistry-l2-251","2","Which element has the symbol Ag?","Silver","Gold","Aluminum","Argon"
"chemistry-l2-252","2","Which element is known as the 'noble gas' group leader?","Helium","Neon","Argon","Xenon"
"chemistry-l2-253","2","Marie Curie won Nobel Prizes in which two scientific fields?","Physics and Chemistry","Chemistry and Medicine","Physics and Medicine","Chemistry and Biology"
"chemistry-l2-254","2","Which element is named after Marie Curie?","Curium","Radium","Polonium","Francium"
"chemistry-l2-255","2","What was Antoine Lavoisier's major contribution to chemistry?","He established the law of conservation of mass","He discovered oxygen gas","He created the periodic table","He formulated atomic theory"
